"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/01/2025","1.465","1.425","1.480","1.425","43,73M","3,17%"
"09/01/2025","1.420","1.435","1.440","1.410","30,95M","-0,70%"
"08/01/2025","1.430","1.445","1.465","1.425","34,41M","-0,35%"
"07/01/2025","1.435","1.470","1.480","1.430","36,01M","-2,05%"
"06/01/2025","1.465","1.525","1.540","1.460","28,17M","-3,62%"
"03/01/2025","1.520","1.560","1.560","1.520","18,20M","-1,62%"
"02/01/2025","1.545","1.530","1.560","1.520","33,51M","1,31%"
"30/12/2024","1.525","1.525","1.545","1.490","42,24M","0,00%"
"27/12/2024","1.525","1.440","1.535","1.440","51,04M","6,27%"
"24/12/2024","1.435","1.460","1.465","1.435","19,52M","-1,37%"
"23/12/2024","1.455","1.425","1.455","1.425","31,96M","2,46%"
"20/12/2024","1.420","1.465","1.475","1.420","31,47M","-3,40%"
"19/12/2024","1.470","1.495","1.495","1.445","40,89M","-2,97%"
"18/12/2024","1.515","1.510","1.535","1.495","25,84M","0,33%"
"17/12/2024","1.510","1.565","1.565","1.500","45,85M","-3,21%"
"16/12/2024","1.560","1.570","1.585","1.545","28,44M","-1,58%"
"13/12/2024","1.585","1.615","1.615","1.575","42,79M","-1,86%"
"12/12/2024","1.615","1.605","1.635","1.585","62,21M","0,94%"
"11/12/2024","1.600","1.625","1.655","1.580","72,95M","-1,54%"
"10/12/2024","1.625","1.500","1.630","1.500","158,16M","9,06%"
"09/12/2024","1.490","1.485","1.510","1.480","42,62M","0,34%"
"06/12/2024","1.485","1.490","1.495","1.465","33,50M","-0,34%"
"05/12/2024","1.490","1.470","1.495","1.450","57,65M","1,71%"
"04/12/2024","1.465","1.445","1.470","1.440","46,07M","1,03%"
"03/12/2024","1.450","1.410","1.470","1.410","61,19M","2,84%"
"02/12/2024","1.410","1.410","1.435","1.410","28,64M","-1,40%"
"29/11/2024","1.430","1.420","1.445","1.395","44,70M","0,70%"
"28/11/2024","1.420","1.455","1.475","1.420","30,73M","-2,07%"
"26/11/2024","1.450","1.485","1.485","1.445","30,28M","-2,36%"
"25/11/2024","1.485","1.460","1.485","1.435","68,02M","2,41%"
"22/11/2024","1.450","1.495","1.495","1.450","33,20M","-2,68%"
"21/11/2024","1.490","1.475","1.500","1.465","47,25M","1,36%"
"20/11/2024","1.470","1.490","1.510","1.460","63,72M","-0,34%"
"19/11/2024","1.475","1.410","1.485","1.410","82,97M","5,73%"
"18/11/2024","1.395","1.405","1.425","1.395","33,93M","-0,36%"
"15/11/2024","1.400","1.470","1.480","1.385","99,87M","-5,41%"
"14/11/2024","1.480","1.500","1.500","1.455","63,86M","-1,33%"
"13/11/2024","1.500","1.560","1.560","1.495","52,01M","-4,15%"
"12/11/2024","1.565","1.510","1.565","1.510","50,90M","2,29%"
"11/11/2024","1.530","1.580","1.580","1.515","49,02M","-3,47%"
"08/11/2024","1.585","1.595","1.610","1.565","61,17M","0,63%"
"07/11/2024","1.575","1.520","1.580","1.480","119,23M","2,27%"
"06/11/2024","1.540","1.575","1.590","1.530","70,41M","-2,22%"
"05/11/2024","1.575","1.525","1.575","1.525","113,17M","3,28%"
"04/11/2024","1.525","1.520","1.560","1.480","90,82M","0,33%"
"01/11/2024","1.520","1.590","1.590","1.515","86,56M","-5,00%"
"31/10/2024","1.600","1.605","1.605","1.540","219,90M","-1,84%"
"30/10/2024","1.630","1.620","1.650","1.610","114,89M","0,93%"
"29/10/2024","1.615","1.620","1.625","1.595","50,33M","0,31%"
"28/10/2024","1.610","1.590","1.640","1.590","75,46M","1,58%"
